ebno,Spectral.Efficiency,Time.Slot
0,0,Nio.1
1,0.921543009056,Nio.1
2,1.47937550089,Nio.1
3,1.88065424745,Nio.1
4,2.19426366375,Nio.1
5,2.45172551596,Nio.1
6,2.67012432222,Nio.1
7,2.85976691725,Nio.1
8,3.02735232647,Nio.1
9,3.17748101056,Nio.1
10,3.3134491132,Nio.1
0,0,Nio.2
1,1.27466059993,Nio.2
2,1.940669629,Nio.2
3,2.394584601,Nio.2
4,2.73934603783,Nio.2
5,3.01740434452,Nio.2
6,3.25043313488,Nio.2
7,3.45100434231,Nio.2
8,3.62706414548,Nio.2
9,3.78395636652,Nio.2
10,3.92544779834,Nio.2
0,0,Nio.3
1,1.55665357382,Nio.3
2,2.28789010876,Nio.3
3,2.77085464322,Nio.3
4,3.13205496413,Nio.3
5,3.42068923924,Nio.3
6,3.66109310046,Nio.3
7,3.86710070896,Nio.3
8,4.0473338923,Nio.3
9,4.20753082742,Nio.3
10,4.35170396083,Nio.3
0,0,Nio.4
1,1.79198032531,Nio.4
2,2.56700946605,Nio.4
3,3.06844675595,Nio.4
4,3.43983535722,Nio.4
5,3.73492582493,Nio.4
6,3.9797870457,Nio.4
7,4.18905701936,Nio.4
8,4.37178133364,Nio.4
9,4.53394274267,Nio.4
10,4.67970474081,Nio.4
0,0,Nio.5
1,1.99406115173,Nio.5
2,2.80056566767,Nio.5
3,3.31479853764,Nio.5
4,3.69312688765,Nio.5
5,3.9925726119,Nio.5
6,4.24042173858,Nio.5
7,4.45186883254,Nio.5
8,4.63625007364,Nio.5
9,4.79971475998,Nio.5
10,4.94652869132,Nio.5
0,0,Nio.6
1,2.17118963033,Nio.6
2,3.00142262959,Nio.6
3,3.52504640729,Nio.6
4,3.90840801731,Nio.6
5,4.2109912821,Nio.6
6,4.46098350865,Nio.6
7,4.67398736957,Nio.6
8,4.85955071326,Nio.6
9,5.02394356524,Nio.6
10,5.17150561442,Nio.6
0,0,Nio.7
1,2.32887864508,Nio.7
2,3.177645772,Nio.7
3,3.70845661784,Nio.7
4,4.0956364906,Nio.7
5,4.40058809909,Nio.7
6,4.6521928407,Nio.7
7,4.86636541888,Nio.7
8,5.0528147336,Nio.7
9,5.21790234475,Nio.7
10,5.36602381361,Nio.7
0,0,Nio.8
1,2.47098727073,Nio.8
2,3.33463423776,Nio.8
3,3.87112329116,Nio.8
4,4.26129931082,Nio.8
5,4.56810223806,Nio.8
6,4.82096437878,Nio.8
7,5.03604673201,Nio.8
8,5.22318484842,Nio.8
9,5.38881207723,Nio.8
10,5.53736771053,Nio.8
0,0,Nio.9
1,2.60032530042,Nio.9
2,3.47618295832,Nio.9
3,4.01727169783,Nio.9
4,4.40986161427,Nio.9
5,4.71815157246,Nio.9
6,4.97202173169,Nio.9
7,5.18783243778,Nio.9
8,5.37552144923,Nio.9
9,5.54157992702,Nio.9
10,5.69048232313,Nio.9
0,0,Nio.10
1,2.71900334834,Nio.10
2,3.60506237176,Nio.10
3,4.14995307534,Nio.10
4,4.54452941408,Nio.10
5,4.85404005561,Nio.10
6,5.10873638191,Nio.10
7,5.3251433893,Nio.10
8,5.51328305416,Nio.10
9,5.67969409205,Nio.10
10,5.82887983918,Nio.10
